Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
1425,20-Apr-06,Waterloo Road,10 (Enitre Length),Facilitate Works,26-Apr-06,30-May-06,0.00
1426,20-Apr-06,South Richmond Street,6,Facilitate Works,19-Apr-06,01-Sep-06,0.00
1427,20-Apr-06,Back Lane,4,Parking of Filming Vehicles,24-Apr-06,26-Apr-06,456.00
1428,20-Apr-06,John Dillion Street,8,Parking of Filming Vehicles,24-Apr-06,26-Apr-06,912.00
1429,20-Apr-06,Victoria Street,10,Filming,26-Apr-06,26-Apr-06,304.00
1430,20-Apr-06,Walworth Road,2,Filming,26-Apr-06,26-Apr-06,60.80
1431,20-Apr-06,Kingsland Parade,4,Filming,26-Apr-06,26-Apr-06,121.60
1432,20-Apr-06,Kingsland Parade,5,Filming,27-Apr-06,27-Apr-06,152.00
1433,20-Apr-06,Portobello Road along Canal,6,Filming,27-Apr-06,27-Apr-06,182.40
1434,20-Apr-06,South Richmond Street,8,Filming,27-Apr-06,27-Apr-06,243.20
1435,20-Apr-06,Richmond Villas,4,Filming,27-Apr-06,27-Apr-06,121.60
1436,20-Apr-06,Seafort Avenue,10,Parking Filming Vehicle,25-Apr-06,25-Apr-06,190.00
1437,24-Apr-06,Parnell Square North,5,Compound Area to store spoil,21-Apr-06,28-Apr-06,"1,330.00"
1438,24-Apr-06,Merrion Square,5,Moving Office,02-May-06,02-May-06,152.00
1439,25-Apr-06,Palace Street  Dublin 2,5,Public Safety at Concert,29-Apr-06,01-May-06,570.00
1440,25-Apr-06,Nassau Street (Celtic Note),3,Broadcast,28-Apr-06,28-Apr-06,0.00
1441,28-Apr-06,Townsend Street,2,To allow traffic to flow while loading,02-May-06,05-May-06,304.00
1442,25-Apr-06,"Foster Place,(outside B.O.I.)",3,"Storage,and Site Caravan",26-Apr-06,25-Jun-06,0.00
1443,25-Apr-06,"Parnell Sq.North, (Op. Hugh Lane Gallery)",4,Site Compound,24-Apr-06,25-Aug-06,0.00
1444,26-Apr-06,Gloucester Street (opposite Site),4,To allow traffic to flow while loading,10-May-06,13-May-06,608.00
1445,26-Apr-06,Gloucester Street (opposite Site),4,To allow traffic to flow while loading,15-May-06,16-May-06,304.00
1446,03-May-06,"Mayor St. Lower, IFSC",8,Parking of Film Vehicles,04-May-06,04-May-06,243.20
1447,03-May-06,"Guild St, IFSC.",20,parking of film Vehicles,04-May-06,04-May-06,608.00
1448,03-May-06,"Amiens Street, Dublin 1",4,Outside Broadcast Unit,08-May-06,08-May-06,101.20
1449,03-May-06,"Northwall Quay, Dublin 1",4,"Outside Broadcast Unit,",12-May-06,13-May-06,202.40
1450,03-May-06,"Northwall Quay, Dublin 1",4,"Outside Broadcast Unit,",20-May-06,20-May-06,0.00
1451,03-May-06,"Northwall Quay,Dublin 1",4,Outside Broadcast Unit,28-May-06,28-May-06,101.20
1452,06-May-06,St. Stephens Green (Outside Dandelion Restaurant),3,Broadcast,11-May-06,11-May-06,0.00
1453,06-May-06,Upper Mount Street,3,Moving Premises,06-May-06,06-May-06,91.20
1454,06-May-06,Charlotte Quay,3,Moving Premises,06-May-06,06-May-06,91.20
1455,10-May-06,Townsend Street,2,To allow traffic to flow,15-May-06,19-May-06,456.00
1456,10-May-06,Gloucester Street,4,To allow traffic to flow freely,15-May-06,19-May-06,912.00
1457,10-May-06,Sherrard Street,7,Contractors compound(Dorset Street),18-May-06,30-Nov-06,0.00
1458,10-May-06,Castle Street,6,Parking for Filming,13-May-06,13-May-06,228.00
1459,10-May-06,Werburgh Street,3,Parking for Filming,13-May-06,13-May-06,114.00
1460,10-May-06,Townsend Street,4,To allow to flow freely,08-May-06,13-May-06,912.00
1461,12-May-06,Merrion Road (Outside P. Cullens),4,Roadhog,13-May-06,13-May-06,152.00
1462,12-May-06,St. Johns Road East,6,Servicing Film Production,15-May-06,15-May-06,114.00
1463,12-May-06,Nassau Street,3,"Charity Broadcast,(HB Ice Cream)",14-May-06,14-May-06,0.00
1464,12-May-06,Emmet  Road (Site office & Compund),5,Site office,11-May-06,01-Jul-06,0.00
1465,12-May-06,Wolfe Tone Street,6,Delivery Vehicles,13-May-06,14-May-06,0.00
1466,12-May-06,Clarendon Street,6,Delivery Vehicles,13-May-06,14-May-06,0.00
1467,15-May-06,Upper Drumcondra Road,4,Roadhog,25-May-06,25-May-06,76.00
1468,15-May-06,Henrietta Street,5,Parking of Film Vehicles,16-May-06,19-May-06,0.00
1469,16-May-06,Townsend Street,2,To allow traffic to flow while loading,22-May-06,26-May-06,380.00
1470,17-May-06,Merrion Sq. West,5,To Facilate Bloomsday Pagent,16-Jun-06,16-Jun-06,0.00
1471,17-May-06,55 Bath Avenue,1,Permanent removal of parking space,,,"1,400.00"
1472,17-May-06,Shelbourne Road(Opp. Equal. &Law reform),2,Loading&Unloading,18-May-06,23-May-06,456.00
