Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
1794,20-Oct-06,Dame Court,8,Parking of Film Unit,24-Oct-06,24-Oct-06,304.00
1795,20-Oct-06,Exchequer Street,4,Parking of Film Unit,24-Oct-06,24-Oct-06,152.00
1796,20-Oct-06,146 Parnell Street,1,Loading/ Unloading,23-Oct-06,27-Oct-06,190.00
1797,01-Nov-06,Northwall Quay,4,Outside Broadcast,09-Nov-06,09-Nov-06,121.60
1798,20-Oct-06,Smithfield,8,Parking of trucks to facilitate filming nearby,26-Oct-06,26-Oct-06,243.20
1799,20-Oct-06,Haymarket,10,Parking of trucks to facilitate filming nearby,26-Oct-06,26-Oct-06,304.00
1800,20-Oct-06,Sitric Road,5,Parking of trucks to facilitate filming nearby,27-Oct-06,27-Oct-06,126.50
1801,20-Oct-06,Hope Street,5,Parking of Film Vehicles,23-Oct-06,23-Oct-06,152.00
1802,20-Oct-06,Gordon Street,12,Parking of Film Vehicles,23-Oct-06,23-Oct-06,364.00
1803,20-Oct-06,Aughrim Street,14,Parking of film Vehicles,23-Oct-06,23-Oct-06,354.20
1804,24-Oct-06,Fitzwilliam Square North,4,Loading of Film Vehicles,25-Oct-06,25-Oct-06,152.00
1805,25-Oct-06,North Great Georges Street,15,Filming,26-Oct-06,26-Oct-06,570.00
1806,25-Oct-06,Francis Street,4,Off Loading,25-Oct-06,27-Oct-06,342.00
1807,25-Oct-06,Ely Place,4,Delivery of Container,31-Oct-06,31-Oct-06,152.00
1808,26-Oct-06,Haddington Road (Outside No. 75),3,Removal Van,24-Nov-06,24-Nov-06,114.00
1809,27-Oct-06,Stephens Green (Outside Dandelion),3,Broadcast,06-Nov-06,06-Nov-06,114.00
1810,27-Oct-06,Francis Street,4,Off Loading,31-Oct-06,02-Nov-06,456.00
1811,31-Oct-06,Parnell Square North,12,Delivery and off Loading,25-Aug-06,25-Mar-07,0.00
1812,01-Nov-06,Northwall Quay,4,Outside Broadcast,21-Nov-06,21-Nov-06,121.60
1813,01-Nov-06,Northwall Quay,4,Outside Broadcast,24-Nov-06,24-Nov-06,121.60
1814,01-Dec-06,Baggot St,6,Outside Broadcast,05-Dec-06,05-Dec-06,228.00
1815,01-Nov-06,Upper Mount Street,6,Unit Production Vehilces,03-Nov-06,03-Nov-06,228.00
1816,01-Nov-06,Sherrard Street,4,Unit Production Vehilces,02-Nov-06,02-Nov-06,101.20
1817,01-Nov-06,Sherrard Street,4,Unit Production Vehilces,03-Nov-06,03-Nov-06,101.20
1818,02-Nov-06,St Augustine Street,3,Parking of Lorries,02-Nov-06,03-Nov-06,182.40
1819,02-Nov-06,Beatty's Avenue,3,Completion of Contract to Reinforce River Wall,05-Nov-06,11-Dec-06,0.00
1820,02-Nov-06,Gloucester Street,4,To allow traffic to flow freely,03-Nov-06,03-Nov-06,152.00
1821,02-Nov-06,Lower Baggot Street (Outside No. 40),4,Office Move,03-Nov-06,03-Nov-06,152.00
1822,02-Nov-06,49-53  Francis Street,4,Off Loading,03-Nov-06,03-Nov-06,152.00
1823,02-Nov-06,49-53 Francis Street,4,Off Loading,06-Nov-06,06-Nov-06,152.00
1824,02-Nov-06,49-53 Francis Street,4,Off Loading,08-Nov-06,08-Nov-06,152.00
1825,06-Nov-06,St. Stephens Green(outside Bank of Scotland),3,Generator on Location for Filiming,09-Nov-06,10-Nov-06,228.00
1826,07-Nov-06,"1 Lower Mount Street, Dublin 2",1,Moving Offices,09-Dec-06,09-Dec-06,30.40
1827,08-Nov-06,Stephens Green (Outside Dandelions),3,Broadcast,12-Nov-06,12-Nov-06,114.00
1828,08-Nov-06,Stephens Green (Outside Dandelions),3,Broadcast,13-Nov-06,13-Nov-06,114.00
1829,08-Nov-06,Herbert Street,15,Short Film,11-Nov-06,11-Nov-06,570.00
1830,08-Nov-06,Innes Quay (Near Custom House),3,Filiming Vehicles,13-Nov-06,13-Nov-06,91.20
1831,08-Nov-06,Commons Street,3,Filiming Vehicles,13-Nov-06,13-Nov-06,91.20
1832,08-Nov-06,Nassau Street(outside Celtic Note),2,Filiming Vehicles,13-Nov-06,13-Nov-06,76.00
1833,09-Nov-06,Upper Mount Street,3,Unit Production Vehilces,10-Nov-06,10-Nov-06,114.00
1834,10-Nov-06,Nassau Street (Outside Celtic Note),4,Roadhog,11-Nov-06,11-Nov-06,152.00
1835,13-Nov-06,Eastmoreland Place,7,Event at Dylan Hotel,23-Nov-06,23-Nov-06,266.00
1836,14-Nov-06,Gloucester Street,4,Allow traffic to flow freely,15-Nov-06,15-Nov-06,152.00
1837,15-Nov-06,Gloucester Street,4,Allow traffic to flow freely,16-Nov-06,16-Nov-06,152.00
1838,17-Nov-06,South Annes Street,4,Roadhog,15-Dec-06,15-Dec-06,152.00
1839,17-Nov-06,Princes Street,2,Allow traffic to flow freely,21-Nov-06,21-Nov-06,76.00
1840,20-Nov-06,Various on Liffey Quayside,2,Maintenance of bridge lights,20-Nov-06,20-Dec-06,0.00
1841,21-Nov-06,Herbert St,3,Furniture removal to new office on mount st upper,05-Jan-07,05-Jan-07,114.00
1842,21-Nov-06,Mount St Upper,3,New office to receive furniture,05-Jan-07,05-Jan-07,114.00
1843,22-Nov-06,Molesworth Street,8,Filming,26-Nov-06,26-Nov-06,304.00
1844,22-Nov-06,Great Denmark Street,10,Filming,23-Nov-06,23-Nov-06,380.00
1845,22-Nov-06,Smithfield,1,Festival of lights,23-Nov-06,27-Nov-06,152.00
1846,23-Nov-06,Kilmainham Lane,4,Filming,23-Nov-06,23-Nov-06,76.00
1847,23-Nov-06,Fredrick Street South,4,Filming,26-Nov-06,26-Nov-06,152.00
1848,01-Nov-06,Stephens Green South,7,Outside Broadcast,25-Nov-06,25-Nov-06,226.00
1849,24-Nov-06,Sherrard Street,7,Contractors compound(Dorset Street),30-Nov-06,30-Jan-07,0.00
1850,24-Nov-06,Princes Street,2,Allow traffic to flow freely,27-Nov-06,27-Nov-06,76.00
1851,24-Nov-06,Lower Baggot Street,4,Moving Premises,01-Dec-06,01-Dec-06,152.00
1852,27-Nov-06,South Annes Street,4,Roadhog,07-Dec-06,07-Dec-06,152.00
1853,28-Nov-06,146 Parnell St  Dublin 1,1,Loading/Unloading,29-Nov-06,01-Dec-06,38.00
1854,28-Nov-06,Princes Street,2,Traffic flow,29-Nov-06,29-Nov-06,76.00
1855,29-Nov-06,North Wall Quay,4,Outside Broadcast,07-Dec-06,07-Dec-06,0.00
1856,29-Nov-06,Mayor Square  IFSC,4,Outside Broadcast,12-Dec-06,12-Dec-06,0.00
1857,29-Nov-06,Wolfe Tone Street,4,Christmas Market,30-Nov-06,30-Nov-06,0.00
1858,01-Dec-06,Henrietta Street,12,Filiming Vehicles,12-Dec-06,12-Dec-06,456.00
1859,04-Dec-06,Fitzwilliam Square South,6,Film Vehicles,06-Dec-06,06-Dec-06,228.00
1860,04-Dec-06,Cathedral Street,2,Film Vehicles,05-Dec-06,05-Dec-06,76.00
1861,04-Dec-06,Cathal Brugha Street,4,Film Vehicles,05-Dec-06,05-Dec-06,152.00
1862,04-Dec-06,Parnell Square West,6,Film Vehicles,06-Dec-06,06-Dec-06,228.00
1863,04-Dec-06,Parnell Street (Outside 146),1,Loading/ Unloading,06-Dec-06,06-Dec-06,38.00
1864,04-Dec-06,Lower Baggot Street (Outside 66),2,Moving to another office,14-Dec-06,14-Dec-06,76.00
1865,04-Dec-06,John's Lane Dublin (excluding loading Bay),10,Film Vehicles,07-Dec-06,07-Dec-06,304.00
1866,04-Dec-06,St Augustine Street,2,Access to Site,05-Dec-06,06-Dec-06,60.80
1867,05-Dec-06,Prince's Street,2,To Allow Traffic to Flow Freely,06-Dec-06,06-Dec-06,76.00
1868,06-Dec-06,Smithfield (Northern End),All,Lithuanian Christmas Tree Cermony,06-Dec-06,08-Dec-06,0.00
1869,06-Dec-06,19 Parnell Square,1,Parking of Van,09-Dec-06,09-Dec-06,38.00
1870,07-Dec-06,Inchicore Road,17,Filiming Vehicles,11-Dec-06,11-Dec-06,323.00
1871,07-Dec-06,Henerietta Street,8,Filiming Vehicles,08-Dec-06,08-Dec-06,0.00
1872,13-Dec-06,South Lotts Road,10,Filiming Vehicles,15-Dec-06,15-Dec-06,304.00
1873,13-Dec-06,Mayor Street,4,Outside Broadcast,18-Dec-06,18-Dec-06,152.00
1874,15-Dec-06,26/27/28 South William Street,4,Office Removal,18-Dec-06,18-Dec-06,152.00
1875,15-Dec-06,80  Harcourt Street,4,Office Removal,18-Dec-06,18-Dec-06,152.00
1876,20-Dec-06,11-17 Exchequer St.,3,Loading of Large Hampers,22-Dec-06,24-Dec-06,342.00
1877,20-Dec-06,93A Sandymount Road,2,Removal Van,22-Dec-06,22-Dec-06,38.00
1878,21-Dec-06,St. Ignatius Road,,Delivery,03-Jan-07,05-Jan-07,556.60
1879,21-Dec-06,St. Ignatius Road,,Delivery,03-Jan-07,05-Jan-07,556.60
1880,21-Dec-06,Glengarriff Parade,,Delivery,03-Jan-07,05-Jan-07,556.60
1881,21-Dec-06,Fitzwilliam Street,4,Access to Site,12-Dec-06,09-Feb-07,"3,344.00"
1882,03-Jan-07,South Anne Street,4,Filming Vehicle,04-Jan-07,04-Jan-07,152.00
1883,05-Jan-07,Nassau Street(Outside Celtic Note),3,Parking of Roadcaster,08-Jan-07,08-Jan-07,114.00
1884,05-Jan-07,Wilton Place,20,Filiming Vehicles,10-Jan-07,10-Jan-07,760.00
1885,05-Jan-07,Wilton Terrace,20,Filiming Vehicles,10-Jan-07,10-Jan-07,760.00
1886,10-Jan-07,Artane Roundabout (Near AIB),4,Roadhog,17-Jan-07,17-Jan-07,76.00
1887,15-Jan-07,Common Street off Custom Hous Quay,4,Filming at Custom House Quay,17-Jan-07,17-Jan-07,121.60
1888,17-Jan-07,Sherrard Street opposite Dorset Lane,3,Allow traffic to enter and exit Dorset Lane,17-Jan-07,16-Feb-07,0.00
1889,19-Jan-07,South Anne Street,3,Filming,24-Jan-07,24-Jan-07,114.00
1890,22-Jan-07,Inchicore Road,10,Filming,29-Jan-07,02-Feb-07,950.00
1891,22-Jan-07,Inchicore Road,10,Filming,05-Feb-07,05-Feb-07,190.00
1892,23-Jan-07,Molesworth Street,2,Filming,24-Jan-07,24-Jan-07,76.00
1893,23-Jan-07,Northwall Quay Road,4,Outside Broadcast,23-Jan-07,23-Jan-07,101.20
1894,23-Jan-07,Northwall Quay Road,4,Outside Broadcast,24-Jan-07,24-Jan-07,101.20
1895,24-Jan-07,At the Albany Clinic,3,Unloading of Furniture,26-Jan-07,26-Jan-07,114.00
1896,24-Jan-07,Blackhall  Place,2,Filiming Vehicles,29-Jan-07,29-Jan-07,76.00
1897,24-Jan-07,Mespil Road,2,Filiming Vehicles,29-Jan-07,29-Jan-07,76.00
1898,24-Jan-07,Mount St. Upper,3,Filiming Vehicles,29-Jan-07,29-Jan-07,114.00
1899,24-Jan-07,Mount St. Cresent,8,Filiming Vehicles,29-Jan-07,29-Jan-07,304.00
1900,24-Jan-07,Wilton Place,12,Filiming Vehicles,29-Jan-07,29-Jan-07,456.00
1901,24-Jan-07,Wilton Terrace,4,Filiming Vehicles,29-Jan-07,29-Jan-07,152.00
1902,24-Jan-07,Kenilworth Square,6,Filiming Vehicles,30-Jan-07,30-Jan-07,151.80
1903,24-Jan-07,Kenilworth Square West,12,Filiming Vehicles,30-Jan-07,30-Jan-07,288.40
1904,25-Jan-07,Hatch Street,12,Festival of Youth Orchestras at Concert Hall,03-Feb-07,03-Feb-07,456.00
1905,03-Jan-07,South Anne Street,4,Filiming Vehicles,04-Jan-07,04-Jan-07,0.00
1906,26-Jan-07,Burlington Road (Side of Waterloo Road),4,Construction of Driveway,02-Feb-07,03-Feb-07,0.00
1907,26-Jan-07,Nassau Stree,3,Roadcaster,30-Jan-07,30-Jan-07,114.00
1908,30-Jan-07,Fade Street,8,Vehicle Access to Venue,31-Jan-07,31-Jan-07,0.00
1909,30-Jan-07,Hendrick Street,8,Filiming Vehicles,31-Jan-07,01-Feb-07,202.40
1910,01-Feb-07,Lower Dorset Street,3,Outside Broadcast,03-Feb-07,03-Feb-07,75.90
1911,01-Feb-07,North Circular road,4,Outside Broadcast,03-Feb-07,03-Feb-07,121.60
1912,05-Feb-07,Upper Hatch Street,12,Official Opening of Offices,16-Feb-07,16-Feb-07,456.00
1913,08-Feb-07,Fitzwilliam Street,4,Access to site,10-Feb-07,05-Apr-07,"3,572.00"
1914,09-Feb-07,Lower Mount Street,6,Launch of National Pensions Campaign,05-Mar-07,05-Mar-07,228.00
1915,12-Feb-07,Drumcondra Road Upper,5,Filming,15-Feb-07,15-Feb-07,152.00
1916,13-Feb-07,Kevin Street,5,Showcasing of 'Concept' 5 Axle HGV,29-Mar-07,29-Mar-07,190.00
1917,13-Feb-07,"Raglan Road, (Nr. House)",2,Furniture Van(House removal),20-Feb-07,20-Feb-07,76.00
1918,14-Feb-07,York Street,4,Park National Surgical Training Unit,15-Feb-07,15-Feb-07,152.00
1919,15-Feb-07,Fitzwiliam Place (Outside No. 34),3,Office Removal,10-Mar-07,10-Mar-07,114.00
1920,15-Feb-07,Merrion Square South (Outside No. 63),5,Office Removal,10-Mar-07,10-Mar-07,190.00
1921,19-Feb-07,St Marys Road South,2,Filming,22-Feb-07,23-Feb-07,152.00
1922,19-Feb-07,Haddington Place,5,Filming,22-Feb-07,23-Feb-07,380.00
1923,19-Feb-07,Sherrard Street,5,Location of Contractors Compound,06-Feb-07,28-Apr-07,0.00
1924,21-Feb-07,Moleswoth Street (Outside No. 20),6,Office Move,26-Feb-07,26-Feb-07,0.00
1925,21-Feb-07,Lower Baggot Street (Outside No. 29),6,Office Move,26-Feb-07,26-Feb-07,0.00
1926,21-Feb-07,North Circular Road,4,Outside Broadcast,24-Feb-07,24-Feb-07,121.60
1927,21-Feb-07,Dorset Street,3,Outside Broadcast,24-Feb-07,24-Feb-07,114.00
1928,27-Feb-07,St Benedicts Gardens,2,Filiming T.V Commercial.,01-Mar-07,01-Mar-07,60.80
1929,28-Feb-07,Synnott Row,4,Filiming T.V. Commercial,01-Mar-07,01-Mar-07,121.60
1930,28-Feb-07,Fontenoy Street,4,Filiming T.V. Commercial,01-Mar-07,01-Mar-07,121.60
1931,28-Feb-07,Fitzwilliam Place,3,Delivery of Furniture,01-Mar-07,01-Mar-07,114.00
1932,28-Feb-07,Ship Street Little,5,Survey of city wall,01-Mar-07,01-Mar-07,0.00
1933,01-Mar-07,Ann Street North,7,Parking film unit,05-Mar-07,05-Mar-07,266.00
1934,02-Mar-07,Serpentine Avenue,2,Pedestrian walkway,05-Mar-07,07-Mar-07,182.40
1935,05-Mar-07,Prouds Lane(Off Stephens Green),2,Removal Vehicle,09-Mar-07,09-Mar-07,76.00
1936,05-Mar-07,"John Dillon Street, Dublin 8",8,Parking of Film Unit,06-Mar-07,06-Mar-07,304.00
1937,05-Mar-07,"Bull Alley Street,Dublin 8",4,Parking of Film Unit,07-Mar-07,07-Mar-07,121.60
1938,05-Mar-07,Carman's Hall Dublin 8,3,Parking of Film Unit,06-Mar-07,08-Mar-07,303.60
1939,05-Mar-07,Drumcondra Road Lower,4,Roadhog,28-Mar-07,28-Mar-07,101.20
1940,05-Mar-07,Dame Court,9,Filming,07-Mar-07,07-Mar-07,342.00
1941,06-Mar-07,Temple Street,4,Outside Broadcast Unit,09-Mar-07,09-Mar-07,121.60
1942,06-Mar-07,Sandwith Street Lower,6,Site Compound,12-Mar-07,05-May-07,0.00
1943,06-Mar-07,Hanover Street,3,Site Compund,12-Mar-07,05-May-07,0.00
1944,07-Mar-07,Serpintine Avenue,2,Pedestrian Walkway,08-Mar-07,16-Mar-07,425.60
1945,07-Mar-07,Emmet  Road Dublin 8,10,Parking of Film Unit,09-Mar-07,09-Mar-07,190.00
1946,09-Mar-07,Adelaide Road,3,Office Move,10-Mar-07,10-Mar-07,114.00
1947,09-Mar-07,St Stephens Green North (Opposite Taxi Rank),4,Mobile Information Unit,12-Mar-07,14-Mar-07,0.00
1948,09-Mar-07,Nassau Street (Outside Celtic Note),4,Mobile Information Unit,15-Mar-07,16-Mar-07,0.00
1949,12-Mar-07,Grantham Street,10,Filming,13-Mar-07,13-Mar-07,380.00
1950,12-Mar-07,Camden Street,4,Filming,14-Mar-07,14-Mar-07,152.00
1951,12-Mar-07,Pleasants Street,4,Filming,14-Mar-07,14-Mar-07,152.00
1952,12-Mar-07,Grantham Street,8,Filming,14-Mar-07,14-Mar-07,304.00
1953,12-Mar-07,St Marys Road (Ballsbridge),8,Filming,13-Mar-07,13-Mar-07,304.00
1954,12-Mar-07,Blackpitts,8,Filming,14-Mar-07,14-Mar-07,243.20
1955,12-Mar-07,Simmonscourt Road,8,New Foothpath Paving,09-Mar-07,30-Mar-07,"3,891.20"
1956,13-Mar-07,Synge Street,3,Filiming Vehicles,14-Mar-07,14-Mar-07,114.00
1957,13-Mar-07,Blackpitts-Newmarket Sq.,3,Filiming Vehicles,14-Mar-07,14-Mar-07,91.20
1958,15-Mar-07,Serpentine Avenue,2,Pedestrianisation of Carrigway,20-Mar-07,23-Mar-07,182.40
1959,16-Mar-07,South Frederick Street,3,Office Move,21-Mar-07,21-Mar-07,114.00
1960,22-Mar-07,121-122 St. Stephens Green,3,Office Move,23-Mar-07,23-Mar-07,114.00
1961,20-Mar-07,Wilton Place,13,Filiming Vehicles,24-Mar-07,25-Mar-07,494.00
1962,20-Mar-07,Fitzwilliam Sq. West (House Side),12,Filiming Vehicles,25-Mar-07,25-Mar-07,0.00
1963,20-Mar-07,Fitzwilliam Sq. West (Square Side),13 Bays,Filiming Vehicles,25-Mar-07,25-Mar-07,0.00
1964,20-Mar-07,Fitzwilliam Sq.North (Square Side),10,Filiming Vehicles,25-Mar-07,25-Mar-07,0.00
1965,20-Mar-07,Castle Street,6,Filiming Vehicles,26-Mar-07,26-Mar-07,228.00
1966,20-Mar-07,Henrietta Street,6,Filiming Vehicles,28-Mar-07,28-Mar-07,228.00
1967,21-Mar-07,North Circular Road,4,Outside Broadcast,24-Mar-07,24-Mar-07,121.60
1968,21-Mar-07,Dorset Street,3,Outside Broadcast,24-Mar-07,24-Mar-07,114.00
1969,21-Mar-07,Baggot Street,3,Broadcast,23-Mar-07,23-Mar-07,114.00
1970,22-Mar-07,Fishamble Street,3,Vehicles and Stage for Street Event,12-Apr-07,13-Apr-03,0.00
1971,22-Mar-07,Palace Street (Off Dame Street),4,Roadhog,31-Mar-07,31-Mar-07,152.00
1972,22-Mar-07,Serpintine Avenue,2,Pedestrianisation of carrigway,26-Mar-07,30-Mar-07,304.00
1973,26-Mar-07,North Circular Road,7,Outside Broadcast,28-Mar-07,28-Mar-07,212.80
1974,26-Mar-07,North Wall Quay,6,Outside Broadcast,27-Mar-07,27-Mar-07,182.40
1975,26-Mar-07,Stephens Green(Opposite the Shelbourne),4,Outside Broadcast,05-Apr-07,05-Apr-07,152.00
1976,26-Mar-07,Adelaide Road,10,Filiming Vehicles,04-Apr-07,04-Apr-07,380.00
1977,27-Mar-07,Nassau Street,6,Filiming Vehicles,04-Apr-07,04-Apr-07,228.00
1978,28-Mar-07,Serpentine Ave.,3,Clear Access to Site,31-Mar-07,31-Jul-07,"9,302.40"
1979,29-Mar-07,Oaklands Park Sandymount,7,RTE Filiming,29-Mar-07,29-Mar-07,212.80
1980,03-Apr-07,Luke Street  Dublin 2,8,Removal Van,05-Apr-07,08-Apr-07,304.00
1981,03-Apr-07,Wilton Place,8,Removal Van,05-Apr-07,05-Apr-07,304.00
1982,11-Apr-07,Stephens Green (Opp. Top Shop),3,Outside Broadcast,19-Apr-07,19-Apr-07,114.00
1983,04-Apr-07,Exchequer Street,1,Wedding Event Car,04-May-07,05-May-07,76.00
1984,10-Apr-07,Nassau Street,3,Broadcast,18-Apr-07,18-Apr-07,114.00
1985,17-Apr-07,North Wall Quay,4,Outside Broadcast,19-Apr-07,19-Apr-07,81.20
1986,19-Apr-07,Anglesea Road (Outside No. 7),3,Removal,07-Jun-07,08-Jun-07,182.40
1987,20-Apr-07,Earlsfort Terrace,4,Office Removal,19-May-07,19-May-07,152.00
1988,20-Apr-07,75 St Stephens Green,4,Offiice Removal,19-May-07,19-May-07,152.00
1989,20-Apr-07,Hatch Street(outside Office),6,Rescue Vans,01-May-07,01-May-07,228.00
1990,20-Apr-07,North Wall Quay,4,Outside Broadcast,23-Apr-07,23-Apr-07,121.60
1991,23-Apr-07,North Wall Quay,4,Outside Broadcast,27-Apr-07,27-Apr-07,121.60
1992,23-Apr-07,North Wall  Quay,4,Outside Broadcast,28-Apr-07,28-Apr-07,121.60
1993,23-Apr-07,Guild Street,9,Filiming Vehicles,25-Apr-07,25-Apr-07,273.60
1994,24-Apr-07,Wilton Terrace,10,Filiming Vehicles,26-Apr-07,26-Apr-07,380.00
1995,24-Apr-07,Clanwilliam Terrace,13,Filiming Vehicles,26-Apr-07,26-Apr-07,494.00
1996,24-Apr-07,Grand Canal Quay,12,Filiming Vehicles,26-Apr-07,26-Apr-07,364.80
1997,24-Apr-07,St. Marys Place North,6,Contractors Store,27-Apr-07,30-Nov-07,0.00
1998,24-Apr-07,Palace Street(O/S A. I. B.) Off Dame Street,4,Site Compound,01-May-07,20-Jun-07,0.00
1999,25-Apr-07,"Temple Street, Dublin 1",7,Outside Broadcasting Unit,01-May-07,01-May-07,266.00
2000,25-Apr-07,Nassau Street (Outside Celtic Note),3,Live Broadcast,27-Apr-07,27-Apr-07,114.00
2001,26-Apr-07,Mountjoy Sqaure South,4,Filming,30-Apr-07,30-Apr-07,121.60
2002,26-Apr-07,Guild Street,26,For Roadworks,09-May-07,16-May-07,0.00
2003,26-Apr-07,Nicholas Avenue,5,Office Relocation,03-May-07,03-May-07,152.00
2004,26-Apr-07,Grand Canal Quay,5,Office Relocation,03-May-07,03-May-07,152.00
2005,27-Apr-07,Dufferin Avenue,6,Film Vehicles,01-May-07,01-May-07,151.80
2006,30-Apr-07,Leinster Square,6,Filming,01-May-07,01-May-07,151.80
2007,30-Apr-07,North Wall Quay,4,Outside Broadcast,04-May-07,04-May-07,121.60
2008,30-Apr-07,North Wall Quay,4,Outside Broadcast,01-May-07,01-May-07,121.60
2009,30-Apr-07,North Wall Quay,4,Outside Broadcast,30-Apr-07,30-Apr-07,121.60
2010,30-Apr-07,Clarendon Street,3,Filming,02-May-07,02-May-07,114.00
2011,30-Apr-07,South William Street,4,Filming,02-May-07,02-May-07,152.00
2012,30-Apr-07,North Strand Road(Just South of Annesley Bridge),15,Site Compound,08-May-07,06-May-08,0.00
2013,01-May-07,Drumcondra Road (Outside Hession Salon),4,Roadhog,09-May-07,09-May-07,76.00
2014,01-May-07,Pembroke Road,4,Roadhog,03-May-07,03-May-07,152.00
2016,02-May-07,Stephens Green,3,Broadcast,11-May-07,11-May-07,114.00
2017,03-May-07,Palace Street,4,Audience Egress from Concerts,05-Jul-07,07-May-07,152.00
2018,03-May-07,Temple Road,12,Filming,09-May-07,09-May-07,228.00
2019,04-May-07,Luke Street(Georges Quay End),3,Furniture Removal,14-May-07,17-May-07,456.00
2020,04-May-07,Stephens Green(Beside Taxi Rank),3,Outside Broadcast,11-May-07,11-May-07,114.00
2021,04-May-07,Sandwith Street,6,Site Compound,06-May-07,31-May-07,0.00
2022,04-May-07,Hanover Street,3,Site Compound,06-May-07,31-May-07,0.00
2023,08-May-07,Inchicore Road(Outside Kilmainham Jail),4,Filiming Vehicles,11-May-07,11-May-07,76.00
2024,09-May-07,Kenilworth Road,2,Filiming Vehicles,09-May-07,11-May-07,151.80
2025,09-May-07,Stephens Green (Near Unitarian Church),3,Broadcast,18-May-07,18-May-07,114.00
2026,09-May-07,Charlemont  Place(Beside Canal),6,Construction of Foothpath(Site Compound),21-May-07,07-Sep-07,0.00
2027,10-May-07,Blackhall Place,3,Filming,14-May-07,14-May-07,91.20
2028,10-May-07,North Circular Road,3,Filming,14-May-07,15-May-07,182.40
2029,11-May-07,Parnell Square North(Opp. Garden of Remembrance,4,Site Compound,11-May-07,31-Jul-07,0.00
2030,11-May-07,17 Shops New Cabra Road Dublin 7,2,Service Promotion,16-May-07,16-May-07,50.60
2031,14-May-07,Stephens Green (Near Unitarian Church),3,Broadcast,17-May-07,17-May-07,114.00
2032,15-May-07,John Rogersons Quay,9,Filming,18-May-07,18-May-07,273.60
2033,15-May-07,Guild Street,9,Filming,18-May-07,18-May-07,273.60
2034,15-May-07,Merrion Square South,9,Filming,17-May-07,17-May-07,342.00
2035,15-May-07,Herbert Park Road,12,Filming,17-May-07,17-May-07,364.80
2036,16-May-07,Ship Street,4,Filming Vehicles,28-May-07,28-May-07,152.00
2037,16-May-07,Mountjoy Square North,8,Filming Vehicles,31-May-07,01-Jun-07,486.40
2038,16-May-07,Henrietta Street,10,Filming Vehicles,06-Jun-07,08-Jun-07,912.00
2039,16-May-07,Henrietta Street,10,Filming Vehicles,11-Jun-07,11-Jun-07,364.00
2040,17-May-07,Luke Street,3,Removing furniture,18-May-07,21-May-07,273.20
2041,17-May-07,Mountjoy Square East,8,Filming Vehicles,18-May-07,18-May-07,243.20
2042,18-May-07,Burlington Road,15,Filming Vehicles,21-May-07,21-May-07,570.00
2043,18-May-07,Sussex  Road,10,Filming Vehicles,21-May-07,21-May-07,380.00
2044,18-May-07,Clarendon Row,4,Filming Vehicles,25-May-07,25-May-07,152.00
2045,18-May-07,William Street South,8,Filming Vehicles,25-May-07,25-May-07,304.00
2046,18-May-07,5/6 Lombard Street  East,4,Office Removal,26-May-07,26-May-07,152.00
2047,21-May-07,Charlemont Place at Glennons Insurance,3,Construction of Foothpath,21-May-07,07-Sep-07,0.00
2048,22-May-07,Molesworth Street,3,Office Relocation,14-Jun-07,14-Jun-07,0.00
2049,22-May-07,Jervis Street,7,Filming,23-May-07,25-May-07,792.44
2050,22-May-07,Northwall Quay,4,Outside Broadcast,25-May-07,25-May-07,121.60
2051,22-May-07,Stephens Green North,2,Marshell's Office For Exhibition,21-Jun-07,24-Jun-07,0.00
2052,22-May-07,Stephens Green North,2,Marshell's Office For Exhibition,17-Aug-07,19-Aug-07,0.00
2053,22-May-07,Stephens Green North,2,Marshell's Office For Exhibition,21-Sep-07,23-Sep-07,0.00
2054,23-May-07,Stephens Green (Outside Eircom Building),3,Broadcast,29-May-07,29-May-07,114.00
2055,23-May-07,Wilton Terrace,10,Film Vehicles,31-May-07,31-May-07,380.00
2056,23-May-07,Haymarket,8,Film Vehicles,28-May-07,28-May-07,243.20
2057,23-May-07,Molesworth Street,3,Office Relocation,14-Jun-07,14-Jun-07,0.00
2058,24-May-07,Marlborough Street,6,Corporate Bus Parking,30-May-07,30-May-07,228.00
2059,25-May-07,Stokes Place,3,Transfer of delegates to Conference in Kilkenny,14-Jun-07,14-Jun-07,114.00
2060,25-May-07,Fishamble Street,6,Filming Vehicles,28-May-07,28-May-07,228.00
2061,25-May-07,Castle  Street,6,Filming  Vehicles,28-May-07,28-May-07,228.00
2062,25-May-07,Francis Street,6,Filming Vehicles,28-May-07,28-May-07,228.00
2063,28-May-07,Haymarket,4,Filming Vehicles,28-May-07,28-May-07,121.60
2064,29-May-07,Wilton Place,10,Filming Vehicles,31-May-07,31-May-07,380.00
2065,29-May-07,South Frederick Street(outside No 27),1,Art Exhibition,13-Jun-07,13-Jun-07,38.00
2066,30-May-07,Inchicore Road,4,Filiming Vehicles,05-Jun-07,05-Jun-07,76.00
2067,01-Jun-07,Mountjoy Square North,6,Filming Vehicles,05-Jun-07,05-Jun-07,182.40
2068,01-Jun-07,Mountjoy Square East,2,Filming Vehicles,05-Jun-07,05-Jun-07,60.80
2069,05-Jun-07,"Fishamble Street,",5,Filming Vehicles,19-Jun-07,20-Jun-07,380.00
